time,phase,current(A),voltage(V),power(W),cosphi,frequency(Hz),energyconsumed(Wh),energyproduced(Wh),energybalanced(Wh)
2023-10-31 23:35:13.301173,phase 1 ,0,130.4146,2.271321,0.87129414,59.981255,0.0006309225,0,0
2023-10-31 23:35:13.301173,phase 2 ,0,0.1298,0,-0.0061358847,62.1812,0,0,0
2023-10-31 23:35:13.301173,phase 3 ,0.014597435,0.0814,-0.019413,-0.20591064,58.407482,0,5.3925e-06,0
2023-10-31 23:35:13.301173,phase 4 ,0.014922338
